zip,count
78660,36010
78653,18669
78645,16018
78745,15477
78748,14145
78744,13854
78738,11114
78749,10689
78734,10589
78759,9789
78704,9207
78746,9166
78641,9053
78723,9036
78753,8879
78747,8271
78731,7819
78758,7797
78757,7435
78727,7103
78669,7076
78724,7026
78739,6983
78617,6825
78702,6775
78754,6380
78703,5903
78732,5571
78728,4845
78750,4717
78735,4128
78621,3978
78741,3974
78725,3732
78733,3565
78736,3464
78721,3439
78751,3383
78613,3093
78752,2614
78730,2611
78610,2583
78726,2471
78756,2430
78664,2366
78722,2160
78652,2128
78705,1975
78737,1962
78620,1617
78654,1549
78701,1161
78719,657
78729,424
78615,401
78742,375
78634,206
78612,195
78640,46
78642,36
76574,22
78663,22
78628,21
78681,17
78619,12
78616,6
78353,3
75039,1
77578,1
77974,1
78160,1
78213,1
78412,1
78521,1
78563,1
78574,1
78636,1
78717,1
78860,1
79739,1
00188,0
73960,0
75001,0
75002,0
75006,0
75007,0
75009,0
75010,0
75013,0
75019,0
75020,0
75021,0
75022,0
75023,0
75024,0
75025,0
75028,0
75032,0
75033,0
75034,0
75035,0
75036,0
75038,0
75040,0
75041,0
75042,0
75043,0
75044,0
75048,0
75050,0
75051,0
75052,0
75054,0
75056,0
75057,0
75058,0
75060,0
75061,0
75062,0
75063,0
75065,0
75067,0
75068,0
75069,0
75070,0
75071,0
75072,0
75074,0
75075,0
75076,0
75077,0
75078,0
75080,0
75081,0
75082,0
75087,0
75088,0
75089,0
75090,0
75092,0
75093,0
75094,0
75098,0
75102,0
75103,0
75104,0
75105,0
75109,0
75110,0
75114,0
75115,0
75116,0
75117,0
75119,0
75124,0
75125,0
75126,0
75127,0
75134,0
75135,0
75137,0
75140,0
75141,0
75142,0
75143,0
75144,0
75146,0
75147,0
75148,0
75149,0
75150,0
75152,0
75153,0
75154,0
75155,0
75156,0
75157,0
75158,0
75159,0
75160,0
75161,0
75163,0
75165,0
75166,0
75167,0
75169,0
75172,0
75173,0
75180,0
75181,0
75182,0
75189,0
75201,0
75202,0
75203,0
75204,0
75205,0
75206,0
75207,0
75208,0
75209,0
75210,0
75211,0
75212,0
75214,0
75215,0
75216,0
75217,0
75218,0
75219,0
75220,0
75223,0
75224,0
75225,0
75226,0
75227,0
75228,0
75229,0
75230,0
75231,0
75232,0
75233,0
75234,0
75235,0
75236,0
75237,0
75238,0
75240,0
75241,0
75243,0
75244,0
75246,0
75247,0
75248,0
75249,0
75251,0
75252,0
75253,0
75254,0
75261,0
75270,0
75287,0
75401,0
75402,0
75407,0
75409,0
75410,0
75411,0
75412,0
75413,0
75414,0
75415,0
75416,0
75417,0
75418,0
75420,0
75421,0
75422,0
75423,0
75424,0
75426,0
75428,0
75431,0
75432,0
75433,0
75435,0
75436,0
75437,0
75438,0
75439,0
75440,0
75441,0
75442,0
75446,0
75447,0
75448,0
75449,0
75450,0
75451,0
75452,0
75453,0
75454,0
75455,0
75457,0
75459,0
75460,0
75462,0
75468,0
75469,0
75470,0
75471,0
75472,0
75473,0
75474,0
75476,0
75477,0
75478,0
75479,0
75480,0
75481,0
75482,0
75486,0
75487,0
75488,0
75489,0
75490,0
75491,0
75492,0
75493,0
75494,0
75495,0
75496,0
75497,0
75501,0
75503,0
75550,0
75551,0
75554,0
75555,0
75556,0
75558,0
75559,0
75560,0
75561,0
75563,0
75566,0
75567,0
75568,0
75569,0
75570,0
75571,0
75572,0
75574,0
75601,0
75602,0
75603,0
75604,0
75605,0
75630,0
75631,0
75633,0
75638,0
75639,0
75640,0
75643,0
75644,0
75645,0
75647,0
75650,0
75651,0
75652,0
75654,0
75656,0
75657,0
75661,0
75662,0
75667,0
75668,0
75669,0
75670,0
75672,0
75681,0
75683,0
75684,0
75686,0
75687,0
75689,0
75691,0
75692,0
75693,0
75701,0
75702,0
75703,0
75704,0
75705,0
75706,0
75707,0
75708,0
75709,0
75750,0
75751,0
75752,0
75754,0
75755,0
75756,0
75757,0
75758,0
75760,0
75762,0
75763,0
75765,0
